## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/c/Users/NV/Desktop/u020323/output/father_sorted.bam] OUTPUT=/mnt/c/Users/NV/Desktop/u020323/output/father_deduped.bam METRICS_FILE=/mnt/c/Users/NV/Desktop/u020323/output/father_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 06 21:26:47 EET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9323	2014148	1094	9323	6327	547919	229	0.272974	2995554

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00008	1061399	0	1061505
2.0	1.510613	300249	229	300213
3.0	1.771236	77512	0	77476
4.0	1.904283	19462	0	19439
5.0	1.972202	5279	0	5273
6.0	2.006874	1498	0	1494
7.0	2.024574	508	0	508
8.0	2.03361	167	0	166
9.0	2.038222	77	0	78
10.0	2.040577	33	0	32
11.0	2.041779	17	0	17
12.0	2.042393	11	0	11
13.0	2.042706	7	0	7
14.0	2.042866	3	0	3
15.0	2.042948	2	0	2
16.0	2.042989	2	0	2
17.0	2.043011	0	0	0
18.0	2.043022	2	0	2
19.0	2.043027	1	0	1
20.0	2.04303	0	0	0
21.0	2.043031	0	0	0
22.0	2.043032	0	0	0
23.0	2.043032	0	0	0
24.0	2.043033	0	0	0
25.0	2.043033	0	0	0
26.0	2.043033	0	0	0
27.0	2.043033	0	0	0
28.0	2.043033	0	0	0
29.0	2.043033	0	0	0
30.0	2.043033	0	0	0
31.0	2.043033	0	0	0
32.0	2.043033	0	0	0
33.0	2.043033	0	0	0
34.0	2.043033	0	0	0
35.0	2.043033	0	0	0
36.0	2.043033	0	0	0
37.0	2.043033	0	0	0
38.0	2.043033	0	0	0
39.0	2.043033	0	0	0
40.0	2.043033	0	0	0
41.0	2.043033	0	0	0
42.0	2.043033	0	0	0
43.0	2.043033	0	0	0
44.0	2.043033	0	0	0
45.0	2.043033	0	0	0
46.0	2.043033	0	0	0
47.0	2.043033	0	0	0
48.0	2.043033	0	0	0
49.0	2.043033	0	0	0
50.0	2.043033	0	0	0
51.0	2.043033	0	0	0
52.0	2.043033	0	0	0
53.0	2.043033	0	0	0
54.0	2.043033	0	0	0
55.0	2.043033	0	0	0
56.0	2.043033	0	0	0
57.0	2.043033	0	0	0
58.0	2.043033	0	0	0
59.0	2.043033	0	0	0
60.0	2.043033	0	0	0
61.0	2.043033	0	0	0
62.0	2.043033	0	0	0
63.0	2.043033	0	0	0
64.0	2.043033	0	0	0
65.0	2.043033	0	0	0
66.0	2.043033	0	0	0
67.0	2.043033	0	0	0
68.0	2.043033	0	0	0
69.0	2.043033	0	0	0
70.0	2.043033	0	0	0
71.0	2.043033	0	0	0
72.0	2.043033	0	0	0
73.0	2.043033	0	0	0
74.0	2.043033	0	0	0
75.0	2.043033	0	0	0
76.0	2.043033	0	0	0
77.0	2.043033	0	0	0
78.0	2.043033	0	0	0
79.0	2.043033	0	0	0
80.0	2.043033	0	0	0
81.0	2.043033	0	0	0
82.0	2.043033	0	0	0
83.0	2.043033	0	0	0
84.0	2.043033	0	0	0
85.0	2.043033	0	0	0
86.0	2.043033	0	0	0
87.0	2.043033	0	0	0
88.0	2.043033	0	0	0
89.0	2.043033	0	0	0
90.0	2.043033	0	0	0
91.0	2.043033	0	0	0
92.0	2.043033	0	0	0
93.0	2.043033	0	0	0
94.0	2.043033	0	0	0
95.0	2.043033	0	0	0
96.0	2.043033	0	0	0
97.0	2.043033	0	0	0
98.0	2.043033	0	0	0
99.0	2.043033	0	0	0
100.0	2.043033	0	0	0

